Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R8,150k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.8625,-91.595,0.0,top
R9,3.3k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,138.4925,-106.595,0.0,top
U1,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,101.6125,-104.975,0.0,top
U11,DRV8833PW,TSSOP-16_4.4x5mm_P0.65mm,120.1175,-87.515,0.0,top
U12,DRV8833PW,TSSOP-16_4.4x5mm_P0.65mm,120.1175,-94.105,0.0,top
U13,AP22966DC8-7,IC_AP22966DC8-7,114.2975,-130.165,0.0,top
U14,XL1509-5.0,SOIC-8_3.9x4.9mm_P1.27mm,101.6125,-118.135,0.0,top
U15,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,101.6125,-124.715,0.0,top
U2,XL1509-3.3,SOIC-8_3.9x4.9mm_P1.27mm,101.6125,-111.555,0.0,top
U9,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,133.4825,-96.77,0.0,top
